Title,Time Range,Source Device,Source Device IP,In Interface,Description,Speed,Dest Subnet,Dest Mask,Peak Traffic Rate,Peak Traffic Time,Average Traffic,Average Data
Utilization BCAF Cabang - BCA Finance Cabang Veteran 1,"Aug 8, 2025, 8:00 AM WIB - 5:00 PM WIB",A03-VTR-01,10.96.33.25,GigabitEthernet0/0/0,*** METRO-E INDOSAT ***,1 Gbps,10.97.45.0/24,24,,,,
BCA Finance Cabang Veteran 2,"Aug 8, 2025, 8:00 AM WIB - 5:00 PM WIB",A03-VTR-02,10.96.33.26,GigabitEthernet0/0/0,*** METRO-E TELKOM ***,1 Gbps,10.97.45.0/24,24,,,,
BCA Finance Cabang Jember 1,"Aug 8, 2025, 8:00 AM WIB - 5:00 PM WIB",A07-JBR-R1,10.96.35.9,Tunnel10,*** METRO-E TELKOM ***,20 Mbps,10.97.30.0/24,24,4.59Mbps,9:24 AM for 1m,94.22kbps,363.91 MB
BCA Finance Cabang Jember 2,"Aug 8, 2025, 8:00 AM WIB - 5:00 PM WIB",A07-JBR-R2,10.96.35.10,Tunnel 1,*** MPLS INDOSAT ***,20 Mbps,10.97.30.0/24,24,32.68kbps,2:35 PM for 1m,351.14bps,1.36 MB
BCA Finance Cabang Iskandar Muda 1,"Aug 8, 2025, 8:00 AM WIB - 5:00 PM WIB",B08-ISM-01.intra.bca.co.id,10.95.238.113,Vlan4,*** Link to BCA Finance ***,1 Gbps,10.97.24.0/24,24,76.8bps,8:18 AM for 1m,4.7bps,18.59 kB
BCA Finance Cabang Iskandar Muda 2,"Aug 8, 2025, 8:00 AM WIB - 5:00 PM WIB",B08-ISM-02.intra.bca.co.id,10.95.238.114,GigabitEthernet0/0/0,*** MPLS TELKOM ***,6 Mbps,10.97.24.0/24,24,1.38Mbps,11:38 AM for 1m,65.32kbps,252.28 MB
BCA Finance Cabang Samarinda 1,"Aug 8, 2025, 8:00 AM WIB - 5:00 PM WIB",A11-SMD-R1.intra.bca.co.id,10.96.37.9,Tunnel10,*** METRO-E TELKOM ***,20 Mbps,10.97.17.0/24,24,24.56Mbps,2:04 PM for 1m,288.86kbps,1.09 GB
BCA Finance Cabang Samarinda 2,"Aug 8, 2025, 8:00 AM WIB - 5:00 PM WIB",A11-SMD-R2.intra.bca.co.id,10.96.37.10,Tunnel1 1,*** MPLS INDOSAT ***,20 Mbps,10.97.17.0/24,24,1.14Mbps,3:37 PM for 1m,9.45kbps,36.48 MB
BCA Finance Cabang Ruko Jababeka 1,"Aug 8, 2025, 8:00 AM WIB - 5:00 PM WIB",BO9-RJB-01.intra.bca.co.id,10.95.240.91,GigabitEthernet0/0,*** MPLS TELKOM ***,6 Mbps,10.97.7.0/25,25,320.49kbps,1:45 PM for 1m,8.58kbps,33.14 MB
BCA Finance Cabang Lawang Salapan 1,"Aug 8, 2025, 8:00 AM WIB - 5:00 PM WIB",BO9-LAW-01.intra.bca.co.id,10.95.240.215,Vlan4,*** Link to BCA Finance ***,1 Gbps,10.97.18.0/24,24,134.4bps,8:11 AM for 1m,36.76bps,145.39 kB
BCA Finance Cabang Lawang Salapan 2,"Aug 8, 2025, 8:00 AM WIB - 5:00 PM WIB",BO9-LAW-02.intra.bca.co.id,10.95.240.216,GigabitEthernet0/0/0,*** MPLS TELKOM ***,30 Mbps,10.97.18.0/24,24,4.03Mbps,1:24 PM for 1m,439.97kbps,1.66 GB
BCA Finance Cabang Denpasar 1,"Aug 8, 2025, 8:00 AM WIB - 5:00 PM WIB",A04-KUT-R1.intra.bca.co.id,10.96.33.139,Tunnel10,*** MPLS INDOSAT ***,30 Mbps,10.97.51.0/24,24,10.56Mbps,4:07 PM for 1m,265.73kbps,1 GB
BCA Finance Cabang Denpasar 2,"Aug 8, 2025, 8:00 AM WIB - 5:00 PM WIB",A04-KUT-R2.intra.bca.co.id,10.96.33.140,Tunnel1 1,*** MPLS TELKOM ***,30 Mbps,10.97.51.0/24,24,254.73kbps,9:36 AM for 1m,2.72kbps,10.52 MB
